                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0584,                 2.5508,                 1.1456,                0.80954,                0.96296,                 0.9636,                0.71614,                      0,                    inf,                      0,               0.070577,              0.0032692,              0.0032692
                      1,                0.97362,                 1.1904,                 1.0269,                0.96807,                0.95062,                0.98768,                0.68042,                      0,                    inf,                      0,               0.040512,              0.0065372,              0.0065372
                      2,                0.99902,                 1.0495,                 1.0331,                0.92294,                0.91358,                0.96898,                0.75528,                      0,                    inf,                      0,                0.01038,              0.0097392,              0.0097392
                      3,                 1.0283,                 1.0323,                 1.0707,                0.87104,                0.90123,                0.95635,                0.66939,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.0424,                0.97814,                 1.0808,                0.93863,                0.94417,                0.98012,                0.74048,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                0.99013,                0.91478,                 1.0718,                0.88199,                0.92269,                0.90599,                0.68812,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                 0.9812,                0.84666,                 1.0612,                0.90132,                0.93827,                0.93413,                0.65514,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                0.97967,                  0.817,                 1.0613,                0.97456,                0.94597,                0.98155,                0.76106,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                0.93044,                0.76451,                 1.0471,                0.96382,                 0.9868,                0.98888,                0.77024,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                0.89828,                0.70047,                  1.014,                0.97232,                0.97531,                 0.9904,                0.79044,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                0.89955,                0.72281,                  1.014,                0.93314,                0.98765,                0.98812,                0.77938,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                  0.867,                0.67578,                 1.0158,                0.96507,                0.97531,                0.97604,                0.74704,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                0.85265,                0.63407,                 1.0017,                0.97453,                0.98765,                0.97929,                0.75907,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                0.84571,                0.63696,                 1.0044,                0.91653,                0.94891,                0.96269,                0.64203,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                0.82116,                 0.6071,                0.99042,                0.95455,                0.96296,                0.99281,                0.78354,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                0.79337,                0.58764,                0.98036,                0.96245,                0.97531,                 0.9717,                0.78353,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                0.80161,                0.57903,                0.97097,                0.97925,                0.98765,                0.99464,                0.79036,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                 0.7795,                0.57301,                0.97924,                0.96292,                0.96193,                0.96941,                0.78438,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                 0.7657,                0.56956,                0.97328,                 0.9634,                0.97499,                0.97689,                0.80678,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                0.76405,                0.55634,                0.95722,                 0.9862,                0.97531,                0.98823,                0.80062,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                0.75986,                0.54401,                0.97033,                0.97155,                0.98765,                0.98693,                0.79955,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                0.74383,                0.54981,                0.94502,                0.98752,                0.97531,                 0.9943,                0.81226,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                0.73758,                0.52776,                 0.9609,                0.97585,                0.99765,                0.99451,                0.81666,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                0.70575,                0.51303,                0.94011,                0.96236,                0.98765,                0.98397,                0.81368,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                0.70883,                0.51915,                0.94104,                0.96281,                0.98765,                0.98539,                0.81795,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                0.70821,                0.50438,                0.94638,                0.98294,                0.98765,                0.98861,                0.80435,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                0.70223,                0.49679,                0.94692,                0.96326,                      1,                 0.9933,                0.85268,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                0.70971,                0.49468,                0.94729,                0.98576,                0.98765,                0.99317,                0.83197,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                0.68112,                0.48319,                0.94306,                0.98252,                0.97531,                0.98283,                0.81332,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                0.69009,                0.48163,                0.94094,                0.97273,                0.98765,                0.99404,                  0.825,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                0.69675,                0.48282,                0.94285,                 0.9848,                0.98765,                0.99365,                0.81539,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                0.69164,                0.48746,                0.94444,                0.97187,                0.96296,                0.97907,                 0.7967,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                0.70678,                0.49448,                0.94271,                0.97428,                0.96296,                0.97429,                0.81589,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                0.66514,                0.46698,                0.93609,                0.97558,                0.98633,                0.99191,                0.80988,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                 0.6631,                0.47466,                0.92831,                0.92994,                      1,                0.98223,                0.82761,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                0.65058,                0.45666,                0.92616,                0.98032,                0.97531,                0.97614,                 0.8205,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                0.65323,                0.44795,                0.93069,                0.97397,                0.97531,                0.99165,                0.80892,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                0.63895,                0.43851,                0.92736,                0.96299,                0.98765,                0.99305,                0.83615,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                0.63766,                0.44616,                0.92325,                0.97764,                0.97531,                0.98372,                0.82718,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                0.62376,                0.42876,                0.91382,                0.97616,                0.97531,                0.98306,                0.80728,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.61778,                0.43855,                0.90789,                0.97556,                0.98765,                0.98776,                0.81922,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.61672,                0.43356,                0.91469,                0.97522,                0.98765,                 0.9854,                0.81617,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                  0.612,                0.41536,                0.91032,                0.96364,                      1,                0.99036,                0.82278,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.59477,                0.41314,                0.90395,                0.97528,                      1,                0.99452,                0.84166,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                  0.589,                0.40307,                0.91174,                0.96245,                0.98765,                 0.9857,                0.82061,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                 0.5933,                0.41997,                0.91178,                0.98634,                0.98765,                0.99377,                0.84522,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.58763,                0.40051,                0.90585,                0.97492,                0.98765,                0.98587,                0.79663,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.58284,                0.40155,                0.90193,                0.96066,                0.97531,                0.99202,                0.82746,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.57059,                0.39535,                0.89876,                0.97549,                0.98256,                0.99416,                 0.8346,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.58397,                0.40226,                0.90194,                0.94932,                      1,                0.99306,                0.83206,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.57089,                0.39366,                0.90009,                0.97466,                0.98765,                0.99392,                0.83631,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.56507,                0.38778,                0.89587,                0.98464,                      1,                 0.9922,                0.84068,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.55502,                0.38295,                0.89661,                0.98702,                      1,                0.99402,                0.83313,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.54692,                0.38378,                0.89277,                0.97392,                0.98765,                0.98322,                 0.8207,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.54155,                0.37584,                0.89522,                0.97489,                0.97531,                0.99247,                0.83453,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.56485,                0.38627,                0.89857,                0.98208,                0.96296,                0.98591,                0.83235,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.51893,                0.36304,                0.88701,                0.97785,                0.97531,                0.98127,                0.83316,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
